Time,Lambda,Alpha,Stress_Model(MPa),Stress_NH(MPa),Phase
16.3,1.076,0.74,0.0744391,0.000172562,2_UnloadTrans
16.4,1.074,0.76,0.0755051,0.000168006,2_UnloadTrans
16.5,1.072,0.78,0.0765501,0.000163451,2_UnloadTrans
16.6,1.07,0.8,0.0775736,0.000158897,2_UnloadTrans
16.7,1.068,0.82,0.0785753,0.000154344,2_UnloadTrans
16.8,1.066,0.84,0.079555,0.000149793,2_UnloadTrans
16.9,1.064,0.86,0.0805121,0.000145242,2_UnloadTrans
17,1.062,0.88,0.0814463,0.000140693,2_UnloadTrans
17.1,1.06,0.9,0.0823572,0.000136144,2_UnloadTrans
17.2,1.058,0.92,0.0832442,0.000131596,2_UnloadTrans
17.3,1.056,0.94,0.0841069,0.00012705,2_UnloadTrans
17.4,1.054,0.96,0.0849447,0.000122504,2_UnloadTrans
17.5,1.052,0.98,0.0857571,0.000117959,2_UnloadTrans
17.6,1.05,1,0.0865435,0.000113415,2_UnloadTrans
17.7,1.048,1,0.0851256,0.000108872,2_UnloadTrans
17.8,1.046,1,0.0837214,0.000104329,2_UnloadTrans
17.9,1.044,1,0.0823305,9.97876e-05,2_UnloadTrans
18,1.042,1,0.0809525,9.52467e-05,2_UnloadTrans
18.1,1.04,1,0.0795871,9.07065e-05,2_UnloadTrans
18.2,1.038,1,0.0782338,8.61669e-05,2_UnloadTrans
18.3,1.036,1,0.0768923,8.1628e-05,2_UnloadTrans
18.4,1.034,1,0.0755624,7.70897e-05,2_UnloadTrans
18.5,1.032,1,0.0742435,7.2552e-05,2_UnloadTrans
18.6,1.03,1,0.0729354,6.80148e-05,2_UnloadTrans
18.7,1.028,1,0.0716377,6.34781e-05,2_UnloadTrans
18.8,1.026,1,0.0703501,5.89419e-05,2_UnloadTrans
18.9,1.024,1,0.0690723,5.44062e-05,2_UnloadTrans
19,1.022,1,0.0678038,4.98709e-05,2_UnloadTrans
19.1,1.02,1,0.0665444,4.53359e-05,2_UnloadTrans
19.2,1.018,1,0.0652938,4.08013e-05,2_UnloadTrans
19.3,1.016,1,0.0640517,3.6267e-05,2_UnloadTrans
19.4,1.014,1,0.0628176,3.1733e-05,2_UnloadTrans
19.5,1.012,1,0.0615914,2.71993e-05,2_UnloadTrans
19.6,1.01,1,0.0603727,2.26657e-05,2_UnloadTrans
19.7,1.008,1,0.0591613,1.81324e-05,2_UnloadTrans
19.8,1.006,1,0.0579568,1.35992e-05,2_UnloadTrans
19.9,1.004,1,0.056759,9.06605e-06,2_UnloadTrans
20,1.002,1,0.0555676,4.53301e-06,2_UnloadTrans
20.1,1,1,0.0543823,0,2_UnloadTrans
20.2,1,1,0.0543823,0,3_ActiveReload
20.3,1.002,1,0.0555676,4.53301e-06,3_ActiveReload
20.4,1.004,1,0.056759,9.06605e-06,3_ActiveReload
20.5,1.006,1,0.0579568,1.35992e-05,3_ActiveReload
20.6,1.008,1,0.0591613,1.81324e-05,3_ActiveReload
20.7,1.01,1,0.0603727,2.26657e-05,3_ActiveReload
20.8,1.012,1,0.0615914,2.71993e-05,3_ActiveReload
20.9,1.014,1,0.0628176,3.1733e-05,3_ActiveReload
21,1.016,1,0.0640517,3.6267e-05,3_ActiveReload
21.1,1.018,1,0.0652938,4.08013e-05,3_ActiveReload
21.2,1.02,1,0.0665444,4.53359e-05,3_ActiveReload
21.3,1.022,1,0.0678038,4.98709e-05,3_ActiveReload
21.4,1.024,1,0.0690723,5.44062e-05,3_ActiveReload
21.5,1.026,1,0.0703501,5.89419e-05,3_ActiveReload
21.6,1.028,1,0.0716377,6.34781e-05,3_ActiveReload
21.7,1.03,1,0.0729354,6.80148e-05,3_ActiveReload
