Time,Lambda,Alpha,Stress_Model(MPa),Stress_NH(MPa),Phase
27.8,1.117,1,0.212768,0.000266264,3_ActiveReload
27.9,1.1185,1,0.213594,0.000269704,3_ActiveReload
28,1.12,1,0.214409,0.000273146,3_ActiveReload
28.1,1.1215,1,0.215212,0.000276588,3_ActiveReload
28.2,1.123,1,0.216004,0.000280031,3_ActiveReload
28.3,1.1245,1,0.216784,0.000283476,3_ActiveReload
28.4,1.126,1,0.217553,0.000286921,3_ActiveReload
28.5,1.1275,1,0.218311,0.000290368,3_ActiveReload
28.6,1.129,1,0.219057,0.000293815,3_ActiveReload
28.7,1.1305,1,0.219791,0.000297263,3_ActiveReload
28.8,1.132,1,0.220514,0.000300713,3_ActiveReload
28.9,1.1335,1,0.221226,0.000304164,3_ActiveReload
29,1.135,1,0.221925,0.000307615,3_ActiveReload
29.1,1.1365,1,0.222614,0.000311068,3_ActiveReload
29.2,1.138,1,0.22329,0.000314522,3_ActiveReload
29.3,1.1395,1,0.223955,0.000317977,3_ActiveReload
29.4,1.141,1,0.224608,0.000321433,3_ActiveReload
29.5,1.1425,1,0.22525,0.00032489,3_ActiveReload
29.6,1.144,1,0.22588,0.000328348,3_ActiveReload
29.7,1.1455,1,0.226498,0.000331807,3_ActiveReload
29.8,1.147,1,0.227105,0.000335268,3_ActiveReload
29.9,1.1485,1,0.2277,0.000338729,3_ActiveReload
30,1.15,1,0.228283,0.000342192,3_ActiveReload
30.1,1.1485,1,0.226243,0.000338729,4_ActiveUnload
30.2,1.147,1,0.2242,0.000335268,4_ActiveUnload
30.3,1.1455,1,0.222157,0.000331807,4_ActiveUnload
30.4,1.144,1,0.220112,0.000328348,4_ActiveUnload
30.5,1.1425,1,0.218068,0.00032489,4_ActiveUnload
30.6,1.141,1,0.216023,0.000321433,4_ActiveUnload
30.7,1.1395,1,0.21398,0.000317977,4_ActiveUnload
30.8,1.138,1,0.211938,0.000314522,4_ActiveUnload
30.9,1.1365,1,0.209898,0.000311068,4_ActiveUnload
31,1.135,1,0.20786,0.000307615,4_ActiveUnload
31.1,1.1335,1,0.205825,0.000304164,4_ActiveUnload
31.2,1.132,1,0.203794,0.000300713,4_ActiveUnload
31.3,1.1305,1,0.201767,0.000297263,4_ActiveUnload
31.4,1.129,1,0.199744,0.000293815,4_ActiveUnload
31.5,1.1275,1,0.197726,0.000290368,4_ActiveUnload
31.6,1.126,1,0.195714,0.000286921,4_ActiveUnload
31.7,1.1245,1,0.193707,0.000283476,4_ActiveUnload
31.8,1.123,1,0.191706,0.000280031,4_ActiveUnload
31.9,1.1215,1,0.189712,0.000276588,4_ActiveUnload
32,1.12,1,0.187726,0.000273146,4_ActiveUnload
32.1,1.1185,1,0.185746,0.000269704,4_ActiveUnload
32.2,1.117,1,0.183775,0.000266264,4_ActiveUnload
32.3,1.1155,1,0.181811,0.000262824,4_ActiveUnload
32.4,1.114,1,0.179856,0.000259386,4_ActiveUnload
32.5,1.1125,1,0.177911,0.000255948,4_ActiveUnload
32.6,1.111,1,0.175974,0.000252512,4_ActiveUnload
32.7,1.1095,1,0.174046,0.000249076,4_ActiveUnload
32.8,1.108,1,0.172129,0.000245641,4_ActiveUnload
32.9,1.1065,1,0.170222,0.000242207,4_ActiveUnload
33,1.105,1,0.168325,0.000238774,4_ActiveUnload
33.1,1.1035,1,0.166438,0.000235342,4_ActiveUnload
33.2,1.102,1,0.164562,0.000231911,4_ActiveUnload
33.3,1.1005,1,0.162698,0.00022848,4_ActiveUnload
33.4,1.099,1,0.160845,0.000225051,4_ActiveUnload
33.5,1.0975,1,0.159003,0.000221622,4_ActiveUnload
33.6,1.096,1,0.157173,0.000218194,4_ActiveUnload
33.7,1.0945,1,0.155354,0.000214767,4_ActiveUnload
33.8,1.093,1,0.153548,0.00021134,4_ActiveUnload
33.9,1.0915,1,0.151754,0.000207915,4_ActiveUnload
34,1.09,1,0.149972,0.00020449,4_ActiveUnload
34.1,1.0885,1,0.148202,0.000201066,4_ActiveUnload
34.2,1.087,1,0.146445,0.000197643,4_ActiveUnload
34.3,1.0855,1,0.144701,0.000194221,4_ActiveUnload
34.4,1.084,1,0.142969,0.000190799,4_ActiveUnload
34.5,1.0825,1,0.14125,0.000187378,4_ActiveUnload
34.6,1.081,1,0.139544,0.000183958,4_ActiveUnload
34.7,1.0795,1,0.13785,0.000180538,4_ActiveUnload
34.8,1.078,1,0.13617,0.00017712,4_ActiveUnload
34.9,1.0765,1,0.134502,0.000173701,4_ActiveUnload
35,1.075,1,0.132848,0.000170284,4_ActiveUnload
35.1,1.0735,1,0.131206,0.000166867,4_ActiveUnload
35.2,1.072,1,0.129577,0.000163451,4_ActiveUnload
35.3,1.0705,1,0.127961,0.000160036,4_ActiveUnload
35.4,1.069,1,0.126358,0.000156621,4_ActiveUnload
35.5,1.0675,1,0.124768,0.000153206,4_ActiveUnload
35.6,1.066,1,0.123191,0.000149793,4_ActiveUnload
35.7,1.0645,1,0.121627,0.00014638,4_ActiveUnload
35.8,1.063,1,0.120075,0.000142967,4_ActiveUnload
35.9,1.0615,1,0.118536,0.000139555,4_ActiveUnload
36,1.06,1,0.11701,0.000136144,4_ActiveUnload
36.1,1.0585,1,0.115496,0.000132733,4_ActiveUnload
36.2,1.057,1,0.113995,0.000129323,4_ActiveUnload
36.3,1.0555,1,0.112506,0.000125913,4_ActiveUnload
36.4,1.054,1,0.111029,0.000122504,4_ActiveUnload
36.5,1.0525,1,0.109564,0.000119095,4_ActiveUnload
36.6,1.051,1,0.108112,0.000115687,4_ActiveUnload
36.7,1.0495,1,0.106672,0.000112279,4_ActiveUnload
36.8,1.048,1,0.105243,0.000108872,4_ActiveUnload
36.9,1.0465,1,0.103826,0.000105465,4_ActiveUnload
37,1.045,1,0.102421,0.000102058,4_ActiveUnload
37.1,1.0435,1,0.101027,9.86523e-05,4_ActiveUnload
37.2,1.042,1,0.0996443,9.52467e-05,4_ActiveUnload
37.3,1.0405,1,0.098273,9.18415e-05,4_ActiveUnload
37.4,1.039,1,0.0969127,8.84366e-05,4_ActiveUnload
37.5,1.0375,1,0.0955634,8.50322e-05,4_ActiveUnload
37.6,1.036,1,0.0942249,8.1628e-05,4_ActiveUnload
37.7,1.0345,1,0.092897,7.82242e-05,4_ActiveUnload
37.8,1.033,1,0.0915795,7.48208e-05,4_ActiveUnload
37.9,1.0315,1,0.0902724,7.14176e-05,4_ActiveUnload
38,1.03,1,0.0889754,6.80148e-05,4_ActiveUnload
38.1,1.0285,1,0.0876885,6.46123e-05,4_ActiveUnload
38.2,1.027,1,0.0864114,6.121e-05,4_ActiveUnload
38.3,1.0255,1,0.0851441,5.7808e-05,4_ActiveUnload
38.4,1.024,1,0.0838862,5.44062e-05,4_ActiveUnload
38.5,1.0225,1,0.0826378,5.10047e-05,4_ActiveUnload
38.6,1.021,1,0.0813985,4.76034e-05,4_ActiveUnload
38.7,1.0195,1,0.0801683,4.42022e-05,4_ActiveUnload
38.8,1.018,1,0.078947,4.08013e-05,4_ActiveUnload
38.9,1.0165,1,0.0777344,3.74006e-05,4_ActiveUnload
39,1.015,1,0.0765304,3.4e-05,4_ActiveUnload
39.1,1.0135,1,0.0753347,3.05996e-05,4_ActiveUnload
39.2,1.012,1,0.0741473,2.71993e-05,4_ActiveUnload
39.3,1.0105,1,0.072968,2.37991e-05,4_ActiveUnload
39.4,1.009,1,0.0717966,2.0399e-05,4_ActiveUnload
39.5,1.0075,1,0.0706329,1.69991e-05,4_ActiveUnload
39.6,1.006,1,0.0694768,1.35992e-05,4_ActiveUnload
39.7,1.0045,1,0.0683281,1.01993e-05,4_ActiveUnload
39.8,1.003,1,0.0671867,6.79952e-06,4_ActiveUnload
39.9,1.0015,1,0.0660523,3.39975e-06,4_ActiveUnload
40,1,1,0.0649249,0,4_ActiveUnload
